="rsp-5256401-00015149 rev. 1: Visualizzazione struttura"
=" Visualizza:ParserView"
, , , , ,
Level,Titolo,Nome,Contenuto,Stato,
6,Requirement00709555,="req-5256401-00709555","WHILE DILCSetting == ""Off""
THEN
DADC_JLR shall set the SetDILCROVPrecondtions to ""Blocked""",In corso,
6,Requirement00709554,="req-5256401-00709554","WHILE DILCFitmentStatus == false
THEN
DADC_JLR shall set the SetDILCROVPrecondtions to ""Blocked""",In corso,
6,Requirement00709553,="req-5256401-00709553","WHILE TrailerStatus == ""Connected""
THEN
DADC_JLR shall set the SetDILCROVPrecondtions to ""Blocked""",In corso,
6,Requirement00709552,="req-5256401-00709552","WHILE HandsOffStage == ""Stage 1"" OR ""Stage 2"" OR ""Stage 3""
THEN
DADC_JLR shall set the SetDILCROVPrecondtions to ""Blocked""",In corso,
6,Requirement00709575,="req-5256401-00709575","WHILE DirectionIndicatorLampStatus == ""Hazard""
THEN
DADC_JLR shall set the SetDILCROVPrecondtions to ""Blocked""",In corso,
5,="[PID-15486] Request To Initiate Lane Change",="chp-5256401-00383221", ,In corso,
6,Requirement00709764,="req-5256401-00709764","WHILE DILCStatus == ""Off"" OR ""NotFitted"" OR ""Disabled"" OR ""Standby"" OR ""Active_Left"" Or ""Active_Right"" Or ""Speed_Adapting_Left"" Or ""Speed_Adapting_Right"" OR ""Aborting_Left"" OR ""Aborting_Right"" OR ""Unpermitted"" OR ""Fault"" ""Inoperable""
THEN
DADC_JLR shall set RequestToIntitiateLaneChange to ""NoRequest""",In corso,
6,Requirement00709765,="req-5256401-00709765","WHILE DILCStatus is ""Available_Idle""
AND the time since the RequestToIntitiateLaneChange is greater than [Target 1 = 1s]
WHEN the DirectionIndicatorStalkPostition changes to ""Latched_Right""
THEN within [Target_Network_delay] the DirectionIndicatorLampStatus is ""Right""
the DADC_JLR shall send the RequestToIntitiateLaneChange ""toRight"" ",In corso,
6,Requirement00709766,="req-5256401-00709766","WHILE DILCStatus is ""Available_Idle""
AND the time since the RequestToIntitiateLaneChange is greater than [Target 1 = 1s]
WHEN the DirectionIndicatorStalkPostition changes to ""Latched_Left""
THEN within [Target_Network_delay] the DirectionIndicatorLampStatus ""Left""
the DADC_JLR shall set RequestToIntitiateLaneChange ""toLeft"" ",In corso,
6,Requirement00709767,="req-5256401-00709767","WHILE DILCStatus is ""Available_Idle""
AND the time since the RequestToIntitiateLaneChange is greater than [Target 1 = 1s]
WHEN the DirectionIndicatorStalkPostition changes to ""Tipped_Right""
THEN within [CAL_Double_tip_threshold] the DirectionIndicatorStalkPostition changes from ""None"" to ""Tipped_Right""
 THEN within [Target_Network_delay] the DirectionIndicatorLampStatus is ""Right""
the DADC_JLR shall set the RequestToIntitiateLaneChange ""toRight""",In corso,
