,Type,Date,Amount,Description,Labels
1986,income,2025-08-19,2.82,To Instant Access Savings,['Investimenti&Risparmi']
1987,income,2025-08-19,2.79,To Instant Access Savings,['Investimenti&Risparmi']
1988,income,2025-08-20,0.09,Interest earned - Instant Access Savings,['Interessi']
1989,income,2025-08-20,0.72,To Instant Access Savings,['Investimenti&Risparmi']
1990,income,2025-08-20,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1991,income,2025-08-21,0.57,To Instant Access Savings,['Investimenti&Risparmi']
1992,income,2025-08-21,0.08,Interest earned - Instant Access Savings,['Interessi']
1993,income,2025-08-21,0.72,To Instant Access Savings,['Investimenti&Risparmi']
1994,income,2025-08-21,0.78,To Instant Access Savings,['Investimenti&Risparmi']
1995,income,2025-08-21,0.84,To Instant Access Savings,['Investimenti&Risparmi']
1996,income,2025-08-21,0.03,To Instant Access Savings,['Investimenti&Risparmi']
1997,income,2025-08-21,1.32,To Instant Access Savings,['Investimenti&Risparmi']
1998,income,2025-08-21,1.38,To Instant Access Savings,['Investimenti&Risparmi']
1999,income,2025-08-21,1.41,To Instant Access Savings,['Investimenti&Risparmi']
2000,income,2025-08-21,1.23,To Instant Access Savings,['Investimenti&Risparmi']
2001,income,2025-08-21,2.79,To Instant Access Savings,['Investimenti&Risparmi']
2002,income,2025-08-22,0.09,Interest earned - Instant Access Savings,['Interessi']
2003,income,2025-08-22,20.0,To Instant Access Savings,['Investimenti&Risparmi']
2004,income,2025-08-23,0.08,Interest earned - Instant Access Savings,['Interessi']
2005,income,2025-08-23,2.67,To Instant Access Savings,['Investimenti&Risparmi']
2006,income,2025-08-23,2.49,To Instant Access Savings,['Investimenti&Risparmi']
2007,income,2025-08-23,0.54,To Instant Access Savings,['Investimenti&Risparmi']
2008,income,2025-08-24,0.09,Interest earned - Instant Access Savings,['Interessi']
2009,income,2025-08-24,2.25,To Instant Access Savings,['Investimenti&Risparmi']
2010,income,2025-08-24,0.63,To Instant Access Savings,['Investimenti&Risparmi']
2011,income,2025-08-24,2.58,To Instant Access Savings,['Investimenti&Risparmi']
2012,income,2025-08-25,0.09,Interest earned - Instant Access Savings,['Interessi']
2013,income,2025-08-25,0.9,To Instant Access Savings,['Investimenti&Risparmi']
2014,income,2025-08-25,2.13,To Instant Access Savings,['Investimenti&Risparmi']
